"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-06",,,,,"2",",S","1",",S",,,,,"0","3,S","27","3,S","27","3,S",,,"0.11",",,S,27,","116","3,S,10,",,,,,"0.15",",,,S",,,"106.8","3,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-07",,,"726","5,S","2","1,S","2","1,S","0","4,S","0","4,S","0","1,S","30","1,S","30","1,S","71","4,S,11,","2.83","1,,S,23,","110","1,S,06,","0","S","0","1,S","3.34","1,,,S","92.8","5,S","102.6","1,,,S","83.0","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-08",,,,,"2","2,S","0","2,S",,,,,"0","3,S","28","3,S","28","3,S",,,"0.08","2,,S,09,+","104","3,S,02,",,,,,"0.16","2,,,S",,,"100.3","3,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-09",,,"627","3,S","0",",S","0",",S","0","3,S","0","3,S","0",",S","30",",S","29",",S","70","3,S,30,","0.00",",,S,30,+","104",",S,04,+",,,"0",",S","0.00",",,,S","88.2","3,S","98.7",",,,S","77.6","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-10",,,"334","5,S","0","1,S","0","1,S","0","2,S","0","2,S","0","3,S","28","3,S","28","3,S","56","2,S,16,","0.00","1,,S,31,+","100","3,S,02,",,,"0","3,S","0.00","1,,,S","77.9","5,S","94.5","3,,,S","61.3","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-11",,,"150","3,S","1",",S","0",",S","0",",S","0",",S","0","3,S","27","3,S","5","3,S","51",",S,25,+","0.03",",,S,08,","94","3,S,06,+",,,"0","3,S","0.03",",,,S","70.5","3,S","86.2","3,,,S","54.8",",,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-12",,,"0",",S","1",",S","0",",S","0",",S","0",",S","0",",S","24",",S","0",",S","35",",S,31,","0.04",",,S,11,","79",",S,09,",,,"219",",S","0.04",",,,S","57.9",",S","72.6",",,,S","43.2",",,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-01","0","S","0","4,S","1",",S","1",",S","0","3,S","0","3,S","0","1,S","9","1,S","0","1,S","34","3,S,01,","0.16",",,S,09,","75","1,S,14,",,,"327","1,S","0.16",",,,S","52.8","4,S","67.0","1,,,S","38.6","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-02","21","S","21","5,S","2","2,S","0","2,S","0","2,S","0","2,S","0","4,S","18","4,S","2","4,S","33","2,S,09,","0.06","2,,S,06,","92","4,S,29,+",,,"174","4,S","0.11","2,,,S","58.3","5,S","75.2","4,,,S","41.4","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-05",,,"728","5,S","0","2,S","0","2,S","0","5,S","0","5,S","0",",S","31",",S","31",",S","65","5,S,08,","0.00","2,,S,31,+","115",",S,17,",,,"0",",S","0.00","2,,,S","93.2","5,S","107.8",",,,S","78.7","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-06",,,"829","2,S","3",",S","2",",S","0","2,S","0","2,S","0",",S","30",",S","30",",S","75","2,S,03,","0.63",",,S,03,","112",",S,10,",,,"0",",S","1.06",",,,S","94.7","2,S","105.0",",,,S","84.5","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-07",,,"789","3,S","2",",S","2",",S","0","2,S","0","2,S","0","1,S","30","1,S","30","1,S","77","2,S,10,","0.81",",,S,10,","110","1,S,03,","0","S","0","1,S","1.00",",,,S","93.3","3,S","103.2","1,,,S","83.5","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-08",,,"670","3,S","3","1,S","2","1,S","0","3,S","0","3,S","0","1,S","30","1,S","30","1,S","75","3,S,02,","4.53","1,,S,02,","102","1,S,15,","0","S","0","1,S","4.69","1,,,S","88.9","3,S","98.0","1,,,S","79.9","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-09",,,,,"2",",S","2",",S",,,,,"0",",S","30",",S","27",",S",,,"1.13",",,S,08,","102",",S,16,",,,,,"2.19",",,,S",,,"96.4",",,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-10",,,"479","3,S","0",",S","0",",S","0","1,S","0","1,S","0","2,S","29","2,S","26","2,S","61","1,S,27,+","0.00",",,S,31,+","103","2,S,05,",,,"0","2,S","0.00",",,,S","81.9","3,S","96.0","2,,,S","67.9","1,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-11",,,"134","2,S","0","1,S","0","1,S","0","1,S","0","1,S","0","2,S","28","2,S","10","2,S","44","1,S,22,","0.00","1,,S,30,+","99","2,S,02,",,,"18","2,S","0.00","1,,,S","69.1","2,S","85.8","2,,,S","52.5","1,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2008-12",,,,,"5","1,S","2","1,S",,,,,"0","1,S","23","1,S","0","1,S",,,"1.38","1,,S,19,","86","1,S,03,",,,,,"2.48","1,,,S",,,"73.0","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-01","0","S","0","1,S","2",",S","2",",S","0",",S","0",",S","0","1,S","15","1,S","0","1,S","41",",S,07,+","1.48",",,S,16,","75","1,S,29,",,,"215","1,S","1.84",",,,S","57.8","1,S","69.5","1,,,S","46.2",",,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-02","35","S","35","2,S","0","1,S","0","1,S","0","2,S","0","2,S","0",",S","26",",S","0",",S","44","2,S,15,+","0.00","1,,S,28,+","89",",S,28,",,,"55",",S","0.00","1,,,S","64.1","2,S","77.6",",,,S","50.6","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-03","266","S","231","2,S","4",",S","3",",S","0","2,S","0","2,S","0",",S","31",",S","7",",S","54","2,S,09,+","0.24",",,S,22,","95",",S,16,",,,"0",",S","0.62",",,,S","72.6","2,S","86.5",",,,S","58.7","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-04","744","S","478","3,S","1","1,S","1","1,S","0","3,S","0","3,S","0","1,S","29","1,S","25","1,S","58","3,S,09,","0.12","1,,S,08,","112","1,S,28,",,,"0","1,S","0.12","1,,,S","82.9","3,S","98.6","1,,,S","67.1","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-05",,,,,"0",",S","0",",S","0","5,S","0","5,S","0","1,S","30","1,S","30","1,S","71","5,S,06,","0.00",",,S,31,+","116","1,S,14,",,,,,"0.00",",,,S","94.4","6,S","108.9","1,,,S","79.9","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-06",,,,,"0","4,S","0","4,S",,,,,"0","4,S","26","4,S","25","4,S",,,"0.00","4,,S,30,+","112","4,S,10,",,,,,"0.00","4,,,S",,,"106.7","4,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-07",,,,,"3","1,S","3","1,S","0","5,S","0","5,S","0","3,S","28","3,S","28","3,S","78","5,S,23,","1.20","1,,S,19,","117","3,S,08,",,,,,"1.94","1,,,S","93.9","8,S","104.0","3,,,S","83.9","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-08",,,"722","4,S","1","1,S","0","1,S","0","4,S","0","4,S","0",",S","31",",S","31",",S","78","4,S,24,","0.05","1,,S,31,","103",",S,04,",,,"0",",S","0.05","1,,,S","91.6","4,S","100.9",",,,S","82.3","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-09",,,"579","5,S","1",",S","0",",S","0","5,S","0","5,S","0",",S","30",",S","30",",S","72","5,S,29,","0.09",",,S,01,","103",",S,08,",,,"0",",S","0.09",",,,S","88.2","5,S","100.0",",,,S","76.4","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-10",,,"415","2,S","0",",S","0",",S","0","2,S","0","2,S","0",",S","31",",S","30",",S","54","2,S,22,","0.00",",,S,31,+","103",",S,01,",,,"0",",S","0.00",",,,S","79.4","2,S","95.0",",,,S","63.7","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-11",,,,,"0","2,S","0","2,S","0","4,S","0","4,S","0","3,S","27","3,S","1","3,S","46","4,S,27,","0.00","2,,S,30,+","91","3,S,01,",,,,,"0.00","2,,,S","67.8","6,S","82.7","3,,,S","52.9","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2009-12",,,"0","2,S","1",",S","0",",S","0","1,S","0","1,S","0","1,S","29","1,S","0","1,S","40","1,S,08,","0.03",",,S,30,","81","1,S,03,",,,"127","1,S","0.03",",,,S","60.7","2,S","75.8","1,,,S","45.6","1,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-01","0","S","0","4,S","2","1,S","0","1,S","0","4,S","0","4,S","0",",S","15",",S","0",",S","36","4,S,13,","0.06","1,,S,24,","78",",S,01,",,,"231",",S","0.10","1,,,S","56.2","4,S","69.2",",,,S","43.2","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-02",,,,,"1",",S","1",",S","0","5,S","0","5,S","0","2,S","23","2,S","0","2,S","38","5,S,10,","0.11",",,S,09,","89","2,S,25,",,,,,"0.11",",,,S","62.7","7,S","77.5","2,,,S","47.9","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-03",,,"371","2,S","1",",S","0",",S","0","1,S","0","1,S","0","1,S","30","1,S","21","1,S","55","1,S,09,+","0.05",",,S,03,","104","1,S,22,",,,"0","1,S","0.05",",,,S","77.9","2,S","93.5","1,,,S","62.3","1,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-04",,,"589","5,S","0","2,S","0","2,S","0","5,S","0","5,S","0","2,S","28","2,S","28","2,S","63","5,S,01,","0.00","2,,S,30,+","111","2,S,16,+",,,"0","2,S","0.00","2,,,S","88.5","5,S","104.7","2,,,S","72.4","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-05",,,"839","3,S","1",",S","1",",S","0","3,S","0","3,S","0",",S","31",",S","31",",S","71","3,S,09,","0.19",",,S,09,","121",",S,27,",,,"0",",S","0.19",",,,S","94.5","3,S","109.5",",,,S","79.6","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-06",,,,,"2",",S","1",",S","0","5,S","0","5,S","0","1,S","29","1,S","28","1,S","72","5,S,07,","0.50",",,S,07,","115","1,S,20,",,,,,"0.54",",,,S","93.6","6,S","105.8","1,,,S","81.5","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-07",,,,,"2","2,S","2","2,S",,,,,"0","2,S","29","2,S","29","2,S",,,"0.68","2,,S,29,","111","2,S,18,",,,,,"0.99","2,,,S",,,"102.6","2,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-08",,,,,"10",",S","9",",S",,,,,"0",",S","31",",S","29",",S",,,"4.76",",,S,05,","102",",S,23,",,,,,"10.90",",,,S",,,"96.2",",,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-09",,,"560","4,S","1",",S","1",",S","0","4,S","0","4,S","0",",S","30",",S","27",",S","68","4,S,23,","0.11",",,S,05,","101",",S,06,+",,,"0",",S","0.11",",,,S","86.4","4,S","96.8",",,,S","75.9","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-10",,,"467","4,S","1","1,S","0","1,S","0","2,S","0","2,S","0","2,S","29","2,S","21","2,S","61","2,S,31,","0.02","1,,S,30,","102","2,S,05,",,,"0","2,S","0.02","1,,,S","82.0","4,S","95.1","2,,,S","68.8","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-11",,,,,"0","4,S","0","4,S",,,,,"0","2,S","28","2,S","3","2,S",,,"0.00","4,,S,30,+","91","2,S,04,+",,,,,"0.00","4,,,S",,,"83.8","2,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2010-12",,,"0","5,S","0","2,S","0","2,S","0","4,S","0","4,S","0","1,S","24","1,S","0","1,S","38","4,S,26,","0.00","2,,S,31,+","81","1,S,03,",,,"203","1,S","0.00","2,,,S","57.0","5,S","73.1","1,,,S","40.9","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-01",,,,,"0","1,S","0","1,S",,,,,"0","3,S","15","3,S","0","3,S",,,"0.00","1,,S,31,+","75","3,S,26,",,,,,"0.00","1,,,S",,,"66.3","3,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-02",,,,,"2","4,S","1","4,S",,,,,"0","1,S","22","1,S","0","1,S",,,"0.29","4,,S,13,","85","1,S,03,",,,,,"0.33","4,,,S",,,"73.8","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-03",,,,,"3","1,S","0","1,S",,,,,"0","1,S","28","1,S","16","1,S",,,"0.05","1,,S,01,","100","1,S,26,",,,,,"0.09","1,,,S",,,"88.3","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-04",,,,,"2","3,S","0","3,S",,,,,"0","1,S","29","1,S","22","1,S",,,"0.08","3,,S,16,","111","1,S,26,",,,,,"0.12","3,,,S",,,"96.0","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-05",,,"851","3,S","1",",S","0",",S","0","2,S","0","2,S","0","1,S","30","1,S","30","1,S","75","2,S,02,","0.02",",,S,07,","113","1,S,18,+",,,"0","1,S","0.02",",,,S","95.2","3,S","108.7","1,,,S","81.7","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-06",,,"854","2,S","0","1,S","0","1,S","0","2,S","0","2,S","0","1,S","29","1,S","29","1,S","80","2,S,02,","0.00","1,,S,30,+","116","1,S,07,",,,"0","1,S","0.00","1,,,S","95.5","2,S","107.0","1,,,S","84.0","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-07",,,"762","4,S","2",",S","1",",S","0","3,S","0","3,S","0","1,S","30","1,S","30","1,S","80","3,S,17,+","1.73",",,S,09,","109","1,S,07,","0","S","0","1,S","1.77",",,,S","93.1","4,S","102.7","1,,,S","83.6","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-08",,,,,"5",",S","2",",S",,,,,"0","2,S","29","2,S","29","2,S",,,"2.76",",,S,31,","105","2,S,02,",,,,,"3.74",",,,S",,,"99.1","2,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-09",,,,,"7",",S","5",",S",,,,,"0",",S","30",",S","25",",S",,,"3.42",",,S,01,","98",",S,11,",,,,,"5.50",",,,S",,,"94.4",",,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-10",,,"438","2,S","0",",S","0",",S","0","2,S","0","2,S","0",",S","31",",S","28",",S","57","2,S,29,+","0.00",",,S,31,+","99",",S,18,+",,,"0",",S","0.00",",,,S","80.2","2,S","94.3",",,,S","66.2","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-11",,,"226","2,S","0",",S","0",",S","0","2,S","0","2,S","0",",S","30",",S","11",",S","51","2,S,30,","0.00",",,S,30,+","94",",S,07,",,,"0",",S","0.00",",,,S","73.0","2,S","87.2",",,,S","58.9","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2011-12",,,,,"0","1,S","0","1,S","0","5,S","0","5,S","0","1,S","21","1,S","0","1,S","34","5,S,23,","0.00","1,,S,31,+","85","1,S,03,",,,,,"0.00","1,,,S","58.3","6,S","74.6","1,,,S","42.0","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-01","0","S","0","5,S","0",",S","0",",S","0","2,S","0","2,S","0","3,S","17","3,S","0","3,S","32","2,S,07,","0.00",",,S,31,+","75","3,S,30,+",,,"262","3,S","0.00",",,,S","54.9","5,S","70.6","3,,,S","39.3","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-02","4","S","4","4,S","0","1,S","0","1,S","0","4,S","2","4,S","0",",S","22",",S","0",",S","32","4,S,09,+","0.00","1,,S,29,+","87",",S,29,",,,"186",",S","0.00","1,,,S","57.6","4,S","73.8",",,,S","41.3","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-03",,,,,"1",",S","1",",S",,,,,"0","1,S","30","1,S","12","1,S",,,"1.97",",,S,08,","103","1,S,30,",,,,,"1.97",",,,S",,,"87.5","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-04",,,"470","4,S","3","2,S","3","2,S","0","4,S","0","4,S","0","1,S","29","1,S","28","1,S","65","4,S,15,","0.63","2,,S,14,","104","1,S,08,",,,"0","1,S","0.88","2,,,S","83.1","4,S","97.4","1,,,S","68.9","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-05",,,,,"1",",S","1",",S",,,,,"0",",S","31",",S","31",",S",,,"0.16",",,S,11,","114",",S,29,",,,,,"0.16",",,,S",,,"106.8",",,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-06",,,"839","2,S","1",",S","0",",S","0","2,S","0","2,S","0",",S","30",",S","30",",S","76","2,S,07,","0.07",",,S,06,","112",",S,02,",,,"0",",S","0.07",",,,S","95.0","2,S","107.6",",,,S","82.4","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-07",,,"747","5,S","2",",S","2",",S","0","5,S","0","5,S","0",",S","31",",S","31",",S","77","5,S,21,","0.79",",,S,15,","111",",S,03,","0","S","0",",S","1.33",",,,S","93.6","5,S","104.0",",,,S","83.3","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-08",,,,,"2",",S","2",",S",,,,,"0","1,S","30","1,S","30","1,S",,,"1.38",",,S,18,","105","1,S,08,",,,,,"1.58",",,,S",,,"99.4","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-09",,,,,"7","1,S","5","1,S",,,,,"0","1,S","29","1,S","26","1,S",,,"6.81","1,,S,09,","104","1,S,03,",,,,,"11.57","1,,,S",,,"95.5","1,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-10",,,"384","3,S","0",",S","0",",S","0","2,S","0","2,S","0","1,S","30","1,S","21","1,S","57","2,S,27,","0.00",",,S,31,+","100","1,S,02,",,,"0","1,S","0.00",",,,S","78.8","3,S","93.0","1,,,S","64.5","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2012-11",,,"125","2,S","0",",S","0",",S","0","2,S","0","2,S","0",",S","30",",S","4",",S","47","2,S,30,","0.00",",,S,30,+","92",",S,01,",,,"3",",S","0.00",",,,S","69.3","2,S","85.1",",,,S","53.5","2,,,S"
